persona_description;item
I like to garden. I like photography. I love traveling. I like to bake pies.;I only feel comfortable with friends.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that people are essentially evil.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I stumble over my words.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I make myself the center of attention.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom feel blue.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I pay my bills on time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not bothered by messy people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do things I later regret.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love excitement.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom get emotional.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I read quickly.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I leave a messy in my room.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am easy to satisfy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do a lot in my spare time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get caught up in my problems.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not interested in abstract ideas.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I amuse my friends.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love a good fight.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I act wild and crazy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I radiate joy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that too much tax money goes to support artists.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I yell at people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not have a good imagination.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel desperate.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have difficulty starting tasks.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I talk to a lot of different people at parties.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I take no times for others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not enjoy watching dance performances.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I look at the bright side of life.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I excel in what I do.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I suffer from others‘ sorrows.
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily amused.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I tend to dislike softhearted people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I never splurge.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I laugh my way through life.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I tend to vote for conservative political candidates.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I never spend more than I can afford.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I misrepresent the facts.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I look down on others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am attached to conventional ways.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I avoid philosophical discussion.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily bothered by things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike talking about myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I find it difficult to get down to work.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am sure of my ground.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don’t see the consequence of things.
I like to garden. I like photography. I love traveling. I like to bake pies.;I lose my temper.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like order.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am always on the go.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I demand quality.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have little to contribute.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am willing to try anything once.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don?€?t understand things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I carry out my plans.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to act on a whim.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to visit new places.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy examining myself and my life.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am hard to get to know.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don?€?t know why I do some of the things I do.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a high opinion of myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love life.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a sharp tongue.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily disturbed by events.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seek to influence others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am afraid of many things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike changes.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I break rules.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I want to be left alone.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I pretend to be concerned for others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom toot my own horn.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I set high standards for myself and others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do crazy things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not bothered by difficult social situations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I obstruct others?€? plans.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I rarely overindulge.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have difficulty understanding abstract ideas.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I keep others at a distance.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I hold back my opinions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am afraid to draw attention to myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I anticipate the needs of others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I turn plans into actions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a vivid imagination.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I experience my emotions intensely.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I see beauty in things that others might not notice.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not like poetry.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like music.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom get lost in thought.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not interested in theoretical discussions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I need a push to get started.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I cheat to get ahead.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I insult people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily embarrassed.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don‘t like crowed events.
I like to garden. I like photography. I love traveling. I like to bake pies.;I act comfortably with others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am comfortable in unfamiliar situations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I misjudge situations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am wary of others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don?€?t understand people who get emotional.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get overwhelmed by emotions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I prefer to be alone.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy being reckless.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I rush into things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love action.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I jump into things without thinking.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I prefer variety to routine.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I know how to get around the rules.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I prefer to stick with things that I know.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like a leisurely lifestyle.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I find it difficult to approach others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I experience very few emotional highs and lows.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy being part of a group.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I tend to vote for liberal political candidates.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not interested in other people?€?s problems.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get irritated easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am relaxed most of the time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I hold a grudge.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can’t stand confrontations.
I like to garden. I like photography. I love traveling. I like to bake pies.;I try to follow the rules.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love to help others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to begin new things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not like art.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe laws should be strictly enforced.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I worry about things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that others have good intentions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love to daydream.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I avoid mistakes.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I would never go hang-gliding or bungee-jumping.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have difficulty imagining things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel that I?€?m unable to deal with things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do more than what?€?s expected of me.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that people should fend for themselves.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get angry easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don‘t like the idea of change.
I like to garden. I like photography. I love traveling. I like to bake pies.;I avoid difficult reading material.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I turn my back on others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I warm up quickly to others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that people are basically moral.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don?€?t worry about things that have already happened.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am very pleased with myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I indulge in my fantasies.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I put little time and effort into my work.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not really interested in others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe in human goodness.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I often feel blue.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am calm even in tense situations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I don‘t like to draw attention to myself.
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I avoid contact with others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can't make up my mind.
I like to garden. I like photography. I love traveling. I like to bake pies.;I am afraid that I will do the wrong thing.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that there is no absolute right or wrong.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can?€?t stand weak people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel comfortable around other people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not like concerts.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I take control of things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I waste my time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to take my time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a lot of fun.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that we coddle criminals too much.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am able to control my cravings.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy the beauty of nature.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seek quiet.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I try to lead others.
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I like to get lost in thought.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I love to eat.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I often eat too much.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I handle tasks smoothly.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I use flattery to get ahead.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I know the answers to many questions.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I enjoy thinking about things.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I complete tasks successfully.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I get chores done right away.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I remain calm under pressure.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I rarely notice my emotional reactions.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I involve others in what I am doing.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I love to read challenging material.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I cheer people up.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I seldom joke around.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I do just enough work to get by.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I seek danger.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I like to stand during the national anthem.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am often in a bad mood.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I believe that criminals should receive help rather than punishment.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I boast about my virtues.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I use others for my own ends.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I take charge.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I make friends easily.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I think highly of myself.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I think that all will be well.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am not highly motivated to succeed.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am not bothered by disorder.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I plunge into tasks with all my heart.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I seldom get mad.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I make people feel welcome.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I love large parties.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I go on binges.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I stick to my chosen path.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I leave my belongings around.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I know how to cope.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I get upset easily.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I seldom daydream.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I work hard.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I love order and regularity.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I break my promises.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I distrust people.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I like to solve complex problems.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I suspect hidden motives in others.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I believe that I am better than others.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I dislike new foods.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am always busy.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I have a rich vocabulary.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I put people under pressure.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I often make last-minute plans.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I postpone decisions.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I feel comfortable with myself.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I want everything to be just right.
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I easily resist temptations.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I get back at others.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am always prepared.	
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.;I am often down in the dumps.	
